1505347176348	Google	add_to_cart		Visitor-80920	Page-11	Kroger,Vanilla Extract
1505347182108	Direct	page_view		Visitor-582159	Page-3	Natural Grooming by Herban Cowboy,Dusk Deodorant
1505347182108	Other	page_view		Visitor-595678	Page-3	Annie's,Shells & Real Aged Cheddar Macaroni & Cheese
1505347182108	Twitter	page_view		Visitor-316611	Page-2	Trident,"White Gum, Spearmint"
1505347182588	Other	page_view		Visitor-320688	Page-13	Trident,"White Gum, Spearmint"
1505347182588	Direct	page_view		Visitor-981811	Page-14	Benadryl,Allergy
1505347546908	Direct	page_view		Visitor-739433	Page-5	Crest,Pro-Health Fluoride Rinse
1505347546908	Direct	add_to_cart		Visitor-603126	Page-0	Heinz,Tomato Ketchup
1505347546908	Bing	page_view		Visitor-300817	Page-9	Air Wick,Dual Action Spray
1505347546908	Facebook	page_view		Visitor-722164	Page-0	Scott,One Ply Bathroom Tissue
1505347547388	Facebook	page_view		Visitor-324944	Page-5	Ancient Harvest,Quinoa Rotelle
1505347547388	Twitter	add_to_cart		Visitor-601427	Page-12	Tropicana,Orange Juice with Calcium & Vitamin D
1505347943388	Google	page_view		Visitor-60501	Page-0	Sun Vista,Black Beans No Salt Added
1505347943388	Yahoo	page_view		Visitor-878417	Page-4	Community,Season 2 DVDs
1505347943388	Yahoo	page_view		Visitor-509406	Page-13	Clover Stornetta,Vitamin D Milk
1505347943388	Bing	page_view		Visitor-467984	Page-10	Staples,Small Bind Clips
1505347943388	Twitter	page_view		Visitor-734996	Page-11	CVS,2-Ply Tissues
1505347943388	Facebook	page_view		Visitor-893665	Page-9	Edge,Sensitive Skin Shaving Gel with Aloe
1505348333148	Direct	page_view		Visitor-791743	Page-5	Secret,pH Balanced - Unscented
1505348333148	Other	page_view		Visitor-722598	Page-14	Trader Joe's,Sesame Melba Round Crackers
1505348335548	Bing	page_view		Visitor-308029	Page-14	Scotch,Super 33+ Vinyl Electric Tape
1505348335548	Bing	page_view		Visitor-316043	Page-9	Avery,White Easy Peel Return Address Labels
